rating,features,promo_price,currency,instock,current_price,sku,title,primary_image_url,price,description,ean,mpn,brand,promo_qty,image_urls,expiry,crawl_time,promo_data,retailer_sku_code,categories,url,upc,attributes,model
,,,SGD,Stock is not in local warehouse,,281920,Samsung Galaxy Note5 (Dual SIM) SM-N9200 ,,SG$904,,,,Samsung,,http://i1.expansys.com/img/b/281920/samsung-galaxy-note5-dual-sim-sm-n9200.jpg,,,,,,,,,
,,,SGD,Stock is not in local warehouse,,273215,"YOTAPHONE 2 (YD201) LTE, 32GB, Black ",,SG$842,,,,YOTAPHONE,,http://i2.expansys.com/img/b/273215/yotaphone-2-yd201-lte-32gb-black.jpg,,,,,,,,,
,,,SGD,In Stock Now,,286073,Samsung Gear S2 classic SM-R732 ,,SG$479.99,,,,Samsung,,http://i1.expansys.com/img/b/286073/samsung-gear-s2-classic.jpg,,,,,,,,,
,,,,Pre-order to BE FIRST,,276493,SJCAM SJ5000 Plus WiFi Full HD Sports Camera ,,,,,,SJCAM,,http://i1.expansys.com/img/b/276493/sjcam-sj5000-plus-full-hd-sports-camera.jpg,,,,,,,,,
,,,SGD,In Stock Now,,268547,Google Nexus 9 ,,SG$649,,,,Google,,http://i2.expansys.com/img/b/268547/google-nexus-9-tablet.jpg,,,,,,,,,
,,,SGD,In Stock Now,,285212,LG V10 Dual-SIM H961N ,,SG$927,,,,LG,,http://i1.expansys.com/img/b/285212/lg-v10-dual-sim-h961n.jpg,,,,,,,,,
,,,SGD,Stock is not in local warehouse,,285605,BlackBerry® Passport SQW100-4: RHR191LW ,,SG$714.99,,,,BlackBerry,,http://i2.expansys.com/img/b/285605/blackberry-passport.jpg,,,,,,,,,
,,,SGD,In Stock Now,,284388,Motorola moto 360 (2nd Gen.) ,,SG$524,,,,Motorola,,http://i2.expansys.com/img/b/284388/motorola-moto-360-2nd-generation.jpg,,,,,,,,,
,,,SGD,Stock is not in local warehouse,,266790,GoPro HERO Action Cam,,SG$234,,,,GoPro,,http://i1.expansys.com/img/b/266790/gopro-hero-action-cam.jpg,,,,,,,,,
,,,SGD,In Stock Now,,286073,Samsung Gear S2 classic SM-R732 ,,SG$479,,,,Samsung,,http://i1.expansys.com/img/b/286073/samsung-gear-s2-classic.jpg,,,,,,,,,
,,,SGD,Stock is not in local warehouse,,265574,Sony Smartband Talk SWR30 ,,SG$134,,,,Sony,,http://i1.expansys.com/img/b/265574/sony-smartband-talk.jpg,,,,,,,,,
,,,SGD,In Stock Now,,266786,GoPro HERO4 Black ,,SG$700,,,,GoPro,,http://i2.expansys.com/img/b/266786/gopro-hero4-black.jpg,,,,,,,,,
,,,SGD,In Stock Now,,265785,ASUS ZenWatch - WI500Q ,,SG$180,,,,ASUS,,http://i2.expansys.com/img/b/265785/asus-zenwatch.jpg,,,,,,,,,
,,,SGD,In Stock Now,,241560,Sony SBH20 Stereo Bluetooth Headset ,,SG$41,,,,Sony,,http://i1.expansys.com/img/b/241560/sony-sbh20-stereo-bluetooth-headset.jpg,,,,,,,,,
,,,SGD,In Stock Now,,273004,SJCAM SJ4000 WIFI Full HD Sports Camera ,,SG$118,,,,SJCAM,,http://i1.expansys.com/img/b/273004/sjcam-sj4000-wifi-full-hd-sports-camera.jpg,,,,,,,,,
,,,SGD,Stock is not in local warehouse,,284387,Motorola moto 360 (2nd Gen.) ,,SG$424,,,,Motorola,,http://i2.expansys.com/img/b/284387/motorola-moto-360-2nd-gen.jpg,,,,,,,,,
,,,SGD,In Stock Now,,279425,Philips Fidelio X2 Headphones ,,SG$368,,,,Philips,,http://i2.expansys.com/img/b/279425/philips-fidelio-x2-headphones.jpg,,,,,,,,,
,,,SGD,Stock is not in local warehouse,,251728,Bose SoundLink Mini Bluetooth Speaker ,,SG$324,,,,Bose,,http://i2.expansys.com/img/b/251728/bose-soundlink-mini-bluetooth-speaker.jpg,,,,,,,,,
,,,SGD,In Stock Now,,237356,Plantronics Voyager Legend Bluetooth Headset ,,SG$89,,,,Plantronics,,http://i2.expansys.com/img/b/237356/plantronics-voyager-legend.jpg,,,,,,,,,
,,,SGD,In Stock Now,,282784,Apple iPad mini 4 ,,SG$719,,,,Apple,,http://i1.expansys.com/img/b/282784/apple-ipad-mini-4.jpg,,,,,,,,,
,,,SGD,Stock is not in local warehouse,,263939,Samsung GALAXY Tab 4 7.0 SM-T231 ,,SG$289,,,,Samsung,,http://i2.expansys.com/img/b/263939/samsung-galaxy-tab-470-sm-t231.jpg,,,,,,,,,
,,,SGD,In Stock Now,,281207,ASUS VivoWatch HC-A01 ,,SG$244,,,,ASUS,,http://i2.expansys.com/img/b/281207/asus-vivowatch.jpg,,,,,,,,,
,,,SGD,In Stock Now,,280806,Samsung Galaxy Tab S2 8.0 SM-T715C ,,SG$584,,,,Samsung,,http://i2.expansys.com/img/b/280806/samsung-galaxy-tab-s2-80-sm-t715.jpg,,,,,,,,,
